species,n_collections
Protea cordata,102
Brachystelma occidentale,101
Crassula atropurpurea,101
Cussonia thyrsiflora,101
Diosma ramosissima,101
Epischoenus quadrangularis,101
Erica nutans,101
Euclea polyandra,101
Leucadendron uliginosum,101
Pelargonium elongatum,101
Protea scolopendriifolia,101
Restio burchellii,101
Restio dispar,101
Restio vilis,101
Scutia myrtina,101
Trichodiadema ryderae,101
Tritoniopsis ramosa,101
Argyrolobium lunare,100
Bartholina burmanniana,100
Bobartia longicyma,100
Disa sagittalis,100
Erica pinea,100
Galenia secunda,100
Indigofera frutescens,100
Ixia orientalis,100
Ornithogalum juncifolium,100
Searsia glauca,100
Seriphium spirale,100
Serruria nervosa,100
Zaluzianskya benthamiana,100
Agathosma imbricata,99
Aspalathus heterophylla,99
Aspalathus pachyloba,99
Asparagus rubicundus,99
Citrullus rehmii,99
Dimorphotheca sinuata,99
Erica strigosa,99
Ixia flexuosa,99
Kogelbergia verticillata,99
Lampranthus reptans,99
Restio perplexus,99
Romulea monticola,99
Sebaea aurea,99
Trichodiadema hirsutum,99
Babiana confusa,98
Babiana montana,98
Babiana villosula,98
Chironia tetragona,98
Cineraria lobata,98
Cunonia capensis,98
Diospyros dichrophylla,98
Erepsia aspera,98
Erica spumosa,98
Ficinia gracilis,98
Ficinia oligantha,98
Galenia sarcophylla,98
Gnidia francisci,98
Indigofera denudata,98
Leucadendron chamelaea,98
Leucadendron conicum,98
Leucadendron gandogeri,98
Leucospermum truncatum,98
Muraltia ericaefolia,98
Pelargonium crithmifolium,98
Phylica parviflora,98
Willdenowia teres,98
Agathosma serratifolia,97
Anagallis foemina,97
Athrixia heterophylla,97
Barleria pungens,97
Brunia phylicoides,97
Erica rhopalantha,97
Erica setacea,97
Ficinia brevifolia,97
Haemanthus crispus,97
Hermannia multiflora,97
Lobelia neglecta,97
Moraea unguiculata,97
Pelargonium zonale,97
Protea aurea,97
Psoralea plauta,97
Rumohra adiantiformis,97
Sorocephalus lanatus,97
Spatalla parilis,97
Aspalathus collina,96
Aspalathus parviflora,96
Drimia filifolia,96
Erica filiformis,96
Erica maximiliani,96
Euphorbia burmanni,96
Fuirena hirsuta,96
Gladiolus trichonemifolius,96
Hermannia stricta,96
Hypodiscus willdenowia,96
Lobelia pinifolia,96
Monoculus monstrosus,96
Pelargonium longicaule,96
Printzia polifolia,96
Psoralea repens,96
