region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
SWA,E116S29A,638,4,263.25,0.797609842660857,374.75,0.5873824451410659,2.4235517568850904
SWA,E116S29B,520,4,195.75,0.831362564991739,324.25,0.6235576923076923,2.656449553001277
SWA,E116S30D,1207,4,509.5,0.753049078096079,697.5,0.5778790389395194,2.368989205103042
SWA,E118S33D,905,4,339.75,0.832646904918473,565.25,0.624585635359116,2.6637233259749817
SWA,E118S32C,905,4,352.5,0.816880170176858,552.5,0.6104972375690608,2.5673758865248226
SWA,E119S33B,1124,4,534,0.694067451990022,590,0.5249110320284698,2.1048689138576777
SWA,E117S31B,692,4,296,0.746495865274411,396,0.5722543352601156,2.3378378378378377
SWA,E117S30C,862,4,345.75,0.786082126509059,516.25,0.5988979118329466,2.4931308749096166
SWA,E120S33B,541,4,194.5,0.853201301553315,346.5,0.6404805914972274,2.7814910025706943
SWA,E118S31B,676,4,286.5,0.766381723232754,389.5,0.5761834319526628,2.3595113438045376
SWA,E120S33A,765,4,271.75,0.872973572008108,493.25,0.6447712418300654,2.81508739650414
SWA,E115S29D,989,4,409.5,0.777953909274222,579.5,0.5859453993933266,2.415140415140415
SWA,E117S34B,1613,4,725.5,0.761463871601503,887.5,0.5502169869807811,2.2232942798070296
SWA,E119S33C,934,4,362.25,0.811254720390535,571.75,0.612152034261242,2.578329882677709
SWA,E118S34A,1556,4,658.5,0.789019045743037,897.5,0.5767994858611826,2.3629460895975702
SWA,E116S29C,840,4,312.25,0.82299255655626,527.75,0.6282738095238095,2.690152121697358
SWA,E121S33A,517,4,180,0.867317237931602,337,0.6518375241779497,2.8722222222222222
SWA,E115S30B,1056,4,434.25,0.779904812687816,621.75,0.5887784090909091,2.4317789291882557
SWA,E119S32D,624,4,229,0.849363040214489,395,0.6330128205128205,2.7248908296943233
SWA,E119S32A,698,4,263,0.843325220172367,435,0.6232091690544412,2.653992395437262
SWA,E120S33C,1575,4,722.5,0.721270339068093,852.5,0.5412698412698412,2.179930795847751
SWA,E117S30B,467,4,185.75,0.798372149009157,281.25,0.60224839400428265,2.5141318977119784
SWA,E117S33C,920,4,370,0.790746906175358,550,0.5978260869565217,2.4864864864864864
SWA,E118S31D,664,4,273.5,0.787833547838397,390.5,0.5881024096385542,2.4277879341864717
SWA,E120S32D,473,4,178,0.857302310840072,295,0.6236786469344608,2.657303370786517
SWA,E117S33A,1085,4,446.5,0.785537016138058,638.5,0.588479262672811,2.4300111982082866
SWA,E117S32A,841,4,331.5,0.80472274866127,509.5,0.6058263971462544,2.5369532428355956
SWA,E115S29B,872,4,355.75,0.777508332539142,516.25,0.5920298165137615,2.4511595221363316
SWA,E116S29D,712,4,291.5,0.780705230920402,420.5,0.5905898876404494,2.4425385934819897
SWA,E119S31A,377,4,121,0.932387286815804,256,0.6790450928381963,3.115702479338843
SWA,E117S31A,847,4,343.75,0.78757679563479,503.25,0.5941558441558441,2.464
SWA,E117S33D,648,4,227.75,0.861642070692944,420.25,0.6485339506172839,2.845225027442371
SWA,E119S34A,1290,4,572,0.731952503852874,718,0.5565891472868217,2.2552447552447554
SWA,E115S29C,1238,4,616.5,0.650984824258276,621.5,0.5020193861066236,2.008110300081103
SWA,E114S27C,1062,4,533.25,0.656652416257108,528.75,0.4978813559322034,1.9915611814345993
SWA,E116S30C,994,4,392.75,0.805742893921261,601.25,0.6048792756539235,2.530872056015277
SWA,E115S28C,874,4,368.75,0.751769462721371,505.25,0.5780892448512586,2.3701694915254237
SWA,E115S29A,948,4,384.75,0.779616264715912,563.25,0.5941455696202531,2.4639376218323585
SWA,E114S27B,410,4,143.25,0.915088906270433,266.75,0.650609756097561,2.862129144851658
SWA,E119S31C,383,4,123.5,0.896284880884612,259.5,0.6775456919060052,3.1012145748987856
SWA,E121S33B,740,4,320.25,0.749992677877866,419.75,0.5672297297297297,2.310694769711163
SWA,E122S33A,743,4,279.5,0.848968422595227,463.5,0.6238223418573351,2.658318425760286
SWA,E117S31C,1090,4,469.25,0.765553320126933,620.75,0.5694954128440367,2.322855620671284
SWA,E116S30A,901,4,361.75,0.79841105329276,539.25,0.5985016648168702,2.4906703524533516
