region,HDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
SWAFR,cell_94,182,323.6666666666667,0.8088848149233139,genus
SWAFR,cell_95,53,121,0.6226415094339622,genus
SWAFR,cell_125,194,256,0.7161110111730726,genus
SWAFR,cell_126,177,663,0.7299877190783322,genus
SWAFR,cell_127,12,27,NaN,genus
SWAFR,cell_155,332,1590.6666666666667,0.5460625219529329,genus
SWAFR,cell_156,340,1278.5,0.6640565886659394,genus
SWAFR,cell_157,39,21.333333333333332,1,genus
SWAFR,cell_158,160,135,0.794152247599076,genus
SWAFR,cell_159,72,138,NaN,genus
SWAFR,cell_185,217,1227,NaN,genus
SWAFR,cell_186,360,1023.25,0.7371726625771526,genus
SWAFR,cell_187,242,535.5,0.6774434121380793,genus
SWAFR,cell_188,165,313.5,0.8198689314848913,genus
SWAFR,cell_189,137,203.75,0.8446865177244907,genus
SWAFR,cell_190,160,222.25,0.7667819958485257,genus
SWAFR,cell_191,30,66.5,0.9,genus
SWAFR,cell_216,366,1872,0.6161193280237113,genus
SWAFR,cell_217,287,939.5,0.5401548693777255,genus
SWAFR,cell_218,322,1006.25,0.6352945170502934,genus
SWAFR,cell_219,179,204.75,0.7191728916340094,genus
SWAFR,cell_220,123,107.75,0.8388158935917207,genus
SWAFR,cell_221,230,215.75,0.7412189300995957,genus
SWAFR,cell_246,147,423,NaN,genus
SWAFR,cell_247,347,1059.25,0.6206919330641582,genus
SWAFR,cell_248,298,765.5,0.6493879380544928,genus
SWAFR,cell_249,263,595,0.6545270483640205,genus
SWAFR,cell_250,225,369.25,0.7077108534341842,genus
SWAFR,cell_251,237,478.25,0.672810329048162,genus
SWAFR,cell_252,181,392.6666666666667,0.7448874690632933,genus
SWAFR,cell_253,24,17.5,0.9583333333333334,genus
SWAFR,cell_254,5,2.5,1,genus
SWAFR,cell_277,351,2164,0.48545706759992474,genus
SWAFR,cell_278,310,1121.5,0.620817962386761,genus
SWAFR,cell_279,280,766.25,0.6969351478322185,genus
SWAFR,cell_280,269,685.25,0.5932913106363396,genus
