region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
GCFR,E019S28D,E019S28,-28.75,19.75,NA,NA,NA
GCFR,E019S28B,E019S28,-28.25,19.75,NA,NA,NA
GCFR,E019S27D,E019S27,-27.75,19.75,NA,NA,NA
GCFR,E019S27B,E019S27,-27.25,19.75,NA,NA,NA
GCFR,E020S34C,E020S34,-34.75,20.25,NA,NA,NA
GCFR,E020S31A,E020S31,-31.25,20.25,NA,NA,NA
GCFR,E020S30C,E020S30,-30.75,20.25,NA,NA,NA
GCFR,E020S30A,E020S30,-30.25,20.25,NA,NA,NA
GCFR,E020S29C,E020S29,-29.75,20.25,NA,NA,NA
GCFR,E020S29A,E020S29,-29.25,20.25,NA,NA,NA
GCFR,E020S28C,E020S28,-28.75,20.25,NA,NA,NA
GCFR,E020S28A,E020S28,-28.25,20.25,NA,NA,NA
GCFR,E020S27C,E020S27,-27.75,20.25,NA,NA,NA
GCFR,E020S27A,E020S27,-27.25,20.25,NA,NA,NA
GCFR,E020S34D,E020S34,-34.75,20.75,NA,NA,NA
GCFR,E020S31D,E020S31,-31.75,20.75,NA,NA,NA
GCFR,E020S31B,E020S31,-31.25,20.75,NA,NA,NA
GCFR,E020S30D,E020S30,-30.75,20.75,NA,NA,NA
GCFR,E020S30B,E020S30,-30.25,20.75,NA,NA,NA
GCFR,E020S29D,E020S29,-29.75,20.75,NA,NA,NA
GCFR,E020S29B,E020S29,-29.25,20.75,NA,NA,NA
GCFR,E020S28D,E020S28,-28.75,20.75,NA,NA,NA
GCFR,E020S28B,E020S28,-28.25,20.75,NA,NA,NA
GCFR,E020S27D,E020S27,-27.75,20.75,NA,NA,NA
GCFR,E020S27B,E020S27,-27.25,20.75,NA,NA,NA
GCFR,E021S34C,E021S34,-34.75,21.25,NA,NA,NA
GCFR,E021S32C,E021S32,-32.75,21.25,NA,NA,NA
GCFR,E021S31C,E021S31,-31.75,21.25,NA,NA,NA
GCFR,E021S31A,E021S31,-31.25,21.25,NA,NA,NA
GCFR,E021S30C,E021S30,-30.75,21.25,NA,NA,NA
GCFR,E021S30A,E021S30,-30.25,21.25,NA,NA,NA
GCFR,E021S29C,E021S29,-29.75,21.25,NA,NA,NA
GCFR,E021S29A,E021S29,-29.25,21.25,NA,NA,NA
GCFR,E021S28C,E021S28,-28.75,21.25,NA,NA,NA
GCFR,E021S28A,E021S28,-28.25,21.25,NA,NA,NA
GCFR,E021S27C,E021S27,-27.75,21.25,NA,NA,NA
GCFR,E021S27A,E021S27,-27.25,21.25,NA,NA,NA
GCFR,E021S34D,E021S34,-34.75,21.75,NA,NA,NA
GCFR,E021S32D,E021S32,-32.75,21.75,NA,NA,NA
GCFR,E021S32B,E021S32,-32.25,21.75,NA,NA,NA
GCFR,E021S31D,E021S31,-31.75,21.75,NA,NA,NA
GCFR,E021S31B,E021S31,-31.25,21.75,NA,NA,NA
GCFR,E021S30D,E021S30,-30.75,21.75,NA,NA,NA
GCFR,E021S30B,E021S30,-30.25,21.75,NA,NA,NA
GCFR,E021S29D,E021S29,-29.75,21.75,NA,NA,NA
GCFR,E021S29B,E021S29,-29.25,21.75,NA,NA,NA
GCFR,E021S28D,E021S28,-28.75,21.75,NA,NA,NA
GCFR,E021S28B,E021S28,-28.25,21.75,NA,NA,NA
GCFR,E021S27D,E021S27,-27.75,21.75,NA,NA,NA
GCFR,E021S27B,E021S27,-27.25,21.75,NA,NA,NA
