resolution,region,variable,roughness,z_roughness
3QDS,SWA,NDVI,5285392.415978162,0.02423877895103205
3QDS,SWA,NDVI,3808565.642013353,-0.4950517645155751
3QDS,SWA,NDVI,1945580.3178817492,-1.150125655708224
3QDS,SWA,NDVI,1395465.1450854102,-1.34356039841925
3QDS,SWA,NDVI,4350287.86529157,-0.304568200232099
3QDS,SWA,NDVI,6117159.864448177,0.31670975656896605
3QDS,SWA,NDVI,5830754.708183179,0.21600228574677646
3QDS,SWA,NDVI,2637082.9734537834,-0.9069754121244354
3QDS,SWA,NDVI,2019933.9699120051,-1.1239809858984668
3QDS,SWA,NDVI,3607597.509561728,-0.5657173649502812
3QDS,SWA,NDVI,5996251.822336569,0.27419535745019974
3QDS,SWA,NDVI,8756646.373352904,1.2448215756702188
3QDS,SWA,NDVI,7737129.4090749435,0.8863330055910152
3QDS,SWA,NDVI,3338917.334873008,-0.6601922731741032
3QDS,SWA,NDVI,2433532.1743687885,-0.978549145038373
3QDS,SWA,NDVI,3557571.642451367,-0.5833077554937742
3QDS,SWA,NDVI,4010800.467023159,-0.4239407621701376
3QDS,SWA,NDVI,6474063.380984138,0.44220627676647895
3QDS,SWA,NDVI,2385559.375960177,-0.9954176234519527
3QDS,SWA,NDVI,3213559.325896168,-0.7042713958966076
3QDS,SWA,NDVI,6979600.021906828,0.6199660530889538
3QDS,SWA,NDVI,10089424.984110774,1.7134610541129467
3QDS,SWA,NDVI,8703118.315446835,1.2259997241363862
3QDS,SWA,NDVI,3757033.053605505,-0.5131719572912716
3QDS,SWA,NDVI,2556184.557234183,-0.9354213905322356
3QDS,SWA,NDVI,3070091.4999184143,-0.7547183993200001
3QDS,SWA,NDVI,2738924.721604371,-0.8711652157784365
3QDS,SWA,NDVI,2537114.090969326,-0.9421270603950946
3QDS,SWA,NDVI,4962188.1153293345,-0.08940822413253575
3QDS,SWA,NDVI,2469700.830879267,-0.9658313086428697
3QDS,SWA,NDVI,1329788.163148151,-1.366654126298982
3QDS,SWA,NDVI,2716202.0844035456,-0.8791550835334292
3QDS,SWA,NDVI,2141178.617714143,-1.0813482275008393
3QDS,SWA,NDVI,2312303.2214231133,-1.0211763847179725
3QDS,SWA,NDVI,3213559.325896168,-0.7042713958966076
3QDS,SWA,NDVI,5937808.2427272815,0.2536450811737458
3QDS,SWA,NDVI,5413947.4271175,0.0694420504360693
3QDS,SWA,NDVI,8831034.766859815,1.2709784614829702
3QDS,SWA,NDVI,9372298.80577739,1.461300916278292
3QDS,SWA,NDVI,5937415.048817897,0.25350682401150343
3QDS,SWA,NDVI,5071294.687964729,-0.051043527339083
3QDS,SWA,NDVI,4963086.369503908,-0.08909237470001696
3QDS,SWA,NDVI,4710748.904229741,-0.17782076301831465
3QDS,SWA,NDVI,4799162.187331893,-0.14673236277992793
3QDS,SWA,NDVI,5715053.084890577,0.17531859833076305
3QDS,SWA,NDVI,4692525.293635313,-0.18422865649393053
3QDS,SWA,NDVI,3838741.8607578045,-0.4844410244424493
3QDS,SWA,NDVI,4779173.070742508,-0.1537610538898888
3QDS,SWA,NDVI,6178638.848486863,0.33832735965962146
3QDS,SWA,NDVI,6162639.094396855,0.332701431728733
3QDS,SWA,NDVI,7462691.706307083,0.7898336013748745
3QDS,SWA,NDVI,8725087.873588553,1.233724789789486
3QDS,SWA,NDVI,11869668.319945907,2.339440719207142
3QDS,SWA,NDVI,9659636.510490311,1.5623362952877304
3QDS,SWA,NDVI,7559431.191965712,0.8238497100803539
3QDS,SWA,NDVI,6939214.7246215595,0.6057655365862464
3QDS,SWA,NDVI,5850610.681727055,0.22298416031353865
3QDS,SWA,NDVI,4893553.389272678,-0.11354197145007477
3QDS,SWA,NDVI,5523556.1521231765,0.10798331700863464
3QDS,SWA,NDVI,6201008.1351113245,0.346192980200202
3QDS,SWA,NDVI,5211837.332501389,-0.0016250934724340786
3QDS,SWA,NDVI,6656369.104030338,0.5063096906987551
3QDS,SWA,NDVI,11542457.351856781,2.224384868079076
3QDS,SWA,NDVI,9329446.231080435,1.4462328411352725
3QDS,SWA,NDVI,10665568.155969495,1.9160479154181975
3QDS,SWA,NDVI,10012392.740054702,1.6863745219715114
3QDS,SWA,NDVI,8486689.0864508,1.149897601715028
0.05º,Cape,CEC,0.8412606981065538,-0.012836993446060239
0.05º,Cape,CEC,0.6583899089268276,-0.3162297018008167
0.05º,Cape,CEC,0.9623753229777018,0.18809883794533003
0.05º,Cape,CEC,0.4108544455634223,-0.7269046651481017
0.05º,Cape,CEC,0.666637208726671,-0.30254697732572855
0.05º,Cape,CEC,0.7758050494723849,-0.12143151860404229
0.05º,Cape,CEC,1.5946740044487848,1.237117165700876
0.05º,Cape,CEC,1.4969082938300238,1.0749184686760498
0.05º,Cape,CEC,1.1578744252522786,0.5124426130559319
0.05º,Cape,CEC,0.5545711517333984,-0.4884707363817038
0.05º,Cape,CEC,1.119850582546658,0.4493589643646382
0.05º,Cape,CEC,1.6154281828138564,1.2715494903608213
0.05º,Cape,CEC,1.9652238421969943,1.8518797494854076
0.05º,Cape,CEC,0.7066487206353081,-0.2361656759829561
0.05º,Cape,CEC,1.2827256520589192,0.7195776728005095
0.05º,Cape,CEC,0.565571149190267,-0.4702211349264662
0.05º,Cape,CEC,0.5279696782430013,-0.5326040456143059
0.05º,Cape,CEC,1.170101284980774,0.5327276465724446
0.05º,Cape,CEC,0.9917736053466797,0.23687220710346407
0.05º,Cape,CEC,1.4304590225219727,0.9646754687919289
0.05º,Cape,CEC,1.8029980659484863,1.582738254325042
0.05º,Cape,CEC,1.1356983184814453,0.47565123087758415
0.05º,Cape,CEC,0.39999813503689235,-0.7449158820743167
0.05º,Cape,CEC,0.9712863498263888,0.20288272214013198
0.05º,Cape,CEC,2.230702590942383,2.292323611262239
0.05º,Cape,CEC,0.735142707824707,-0.18889258231942271
0.05º,Cape,CEC,1.1230075624254015,0.45459656781092783
0.05º,Cape,CEC,0.7177821265326606,-0.2176947425793119
0.05º,Cape,CEC,0.8784502877129449,0.04886258341854146
0.05º,Cape,CEC,0.4182319641113281,-0.7146649556612749
0.05º,Cape,CEC,0.7981363932291666,-0.08438258971845401
0.05º,Cape,CEC,0.6121727625528971,-0.3929064924118867
0.05º,Cape,CEC,1.1325829823811848,0.47048271675275877
0.05º,Cape,CEC,0.22416411505805123,-1.0366342028710598
0.05º,Cape,CEC,1.515072504679362,1.1050538946203838
0.05º,Cape,CEC,1.4090630213419597,0.9291783247423895
0.05º,Cape,CEC,0.3487980365753174,-0.8298596645666687
0.05º,Cape,CEC,0.5184873342514038,-0.5483357764066678
0.05º,Cape,CEC,1.0217466354370117,0.28659911437768826
0.05º,Cape,CEC,0.9287979337904189,0.13239210046852326
0.05º,Cape,CEC,0.3544968499077691,-0.820405019463992
0.05º,Cape,CEC,0.5347042083740234,-0.521431089314875
0.05º,Cape,CEC,0.7234999338785807,-0.20820858536245587
0.05º,Cape,CEC,0.36422337426079643,-0.804268180007127
0.05º,Cape,CEC,0.7965734269883897,-0.08697563677087482
0.05º,Cape,CEC,1.3145741886562772,0.7724161486377389
0.05º,Cape,CEC,0.6176579793294271,-0.38380621575639073
0.05º,Cape,CEC,0.19488843282063803,-1.085204171660404
0.05º,Cape,CEC,0.6879743576049805,-0.2671474724852001
0.05º,Cape,CEC,1.052943017747667,0.33835563034480726
0.05º,Cape,CEC,1.001220491197374,0.252545110887696
0.05º,Cape,CEC,0.8244810104370117,-0.04067541920144968
